t_w	t_dim	d_s	k	seed_j	epoch	acc	delta	prec	rec	f1	ov	ov_delta	p_val	p_ov_val
2500	20	2	2	144000	15	0.7857	0.0820	0.8333	0.7143	0.7692	0.7919	0.0335	0.40157645936866865	0.5910770986734848
2500	20	3	9	144000	8	0.7037	0.0000	1.0000	0.3846	0.5556	0.7584	0.0000	0.9999999999462418	0.9999999948576963
2500	20	4	6	777	11	0.7778	0.0741	0.8333	0.7143	0.7692	0.7911	0.0327	0.004234539411564313	1.2774056370031322e-10
2500	30	0	7	144000	5	0.8148	0	0.8333	0.7692	0.8000	0.8120	0	0.0	0.0
2500	30	1	3	777	17	0.7500	-0.0648	0.7059	0.8571	0.7742	0.7542	-0.0578	0.19095554528822664	0.9998557154680875
2500	30	2	2	144000	15	0.7857	-0.0291	0.7857	0.7857	0.7857	0.7857	-0.0263	3.4488562542017667e-06	1.2449527307403451e-10
2500	30	3	2	144000	9	0.8214	0.0066	0.8000	0.8571	0.8276	0.8191	0.0071	0.08574287885731398	0.0009200707238744526
2500	30	4	2	144000	11	0.7857	-0.0291	0.7857	0.7857	0.7857	0.7857	-0.0263	6.859660052016312e-05	0.9986526992935746
2500	40	0	2	144000	15	0.7857	0	0.8333	0.7143	0.7692	0.7919	0	0.0	0.0
2500	40	1	6	144000	14	0.7778	-0.0079	1.0000	0.5714	0.7273	0.8375	0.0456	0.01664174438777629	1.1607961337576588e-05
2500	40	2	7	7	13	0.8148	0.0291	0.7500	0.9231	0.8276	0.8066	0.0147	0.00030870306826908094	0.08260677620473693
2500	40	3	2	7	4	0.7857	0.0000	0.7857	0.7857	0.7857	0.7857	-0.0062	0.6421896068631077	0.03790986084785397
2500	40	4	2	7	19	0.7500	-0.0357	0.7059	0.8571	0.7742	0.7542	-0.0377	0.8239831455539887	0.8373723585254854
2500	50	0	0	777	10	0.8214	0	0.8462	0.7857	0.8148	0.8253	0	0.0	0.0
