t_w	t_dim	d_s	k	seed_j	epoch	acc	delta	prec	rec	f1	ov	ov_delta	p_val	p_ov_val
2500	30	3	2	144000	14	0.7857	-0.0291	0.7500	0.8571	0.8000	0.7850	-0.0270	0.026902340465550924	0.0020278137118776587
2500	30	4	2	7	14	0.7857	-0.0291	0.7857	0.7857	0.7857	0.7857	-0.0263	0.00016564572448508923	0.9994876375106398
2500	40	0	2	144000	15	0.7857	0	0.8333	0.7143	0.7692	0.7919	0	0.0	0.0
2500	40	1	2	144000	10	0.7143	-0.0714	1.0000	0.4286	0.6000	0.7771	-0.0148	0.12814215730068565	0.0006685112018431839
2500	40	2	7	7	9	0.8519	0.0661	0.8000	0.9231	0.8571	0.8412	0.0493	4.651461962199704e-05	0.11652111949280063
2500	40	3	2	7	4	0.7857	0.0000	0.7857	0.7857	0.7857	0.7857	-0.0062	0.8417428268076138	0.5735687273853256
2500	40	4	6	144000	11	0.7037	-0.0820	0.8750	0.5000	0.6364	0.7351	-0.0568	0.9629839965053245	0.8909193753525997
2500	50	0	0	777	10	0.8214	0	0.8462	0.7857	0.8148	0.8253	0	0.0	0.0
2500	50	1	2	7	14	0.7857	-0.0357	0.7222	0.9286	0.8125	0.7879	-0.0374	0.9507689657076457	0.9135166656837427
2500	50	2	7	777	7	0.7407	-0.0807	1.0000	0.4615	0.6316	0.7927	-0.0326	0.6906698732986903	0.23313351584229516
2500	50	3	2	7	8	0.7857	-0.0357	0.7857	0.7857	0.7857	0.7857	-0.0396	0.9994238413995401	0.9999052942588117
2500	50	4	2	144000	12	0.7857	-0.0357	0.7000	1.0000	0.8235	0.7933	-0.0320	0.475507924122608	0.03229953823040571
3000	20	0	7	777	12	0.8148	0	0.7857	0.8462	0.8148	0.8065	0	0.0	0.0
3000	20	1	7	777	13	0.7778	-0.0370	1.0000	0.5385	0.7000	0.8255	0.0189	0.9038324551610342	0.9581223921284003
3000	20	2	0	777	19	0.7857	-0.0291	1.0000	0.5714	0.7273	0.8383	0.0318	1.3947907928311782e-08	2.7877919365676296e-06
3000	20	3	2	144000	16	0.7857	-0.0291	1.0000	0.5714	0.7273	0.8383	0.0318	0.0403215409136351	0.022562148447715886
3000	20	4	9	7	19	0.7778	-0.0370	0.8182	0.6923	0.7500	0.7753	-0.0312	1.5133791451978384e-05	1.07126410483519e-11
3000	30	0	8	777	7	0.8148	0	0.8333	0.7692	0.8000	0.8120	0	0.0	0.0
3000	30	1	2	144000	17	0.8571	0.0423	1.0000	0.7143	0.8333	0.8952	0.0832	0.9073640642619666	0.5925708669443879
3000	30	2	2	144000	13	0.7500	-0.0648	1.0000	0.5000	0.6667	0.8083	-0.0037	0.9377592021458846	3.315505255577723e-05
3000	30	3	2	144000	13	0.8214	0.0066	1.0000	0.6429	0.7826	0.8672	0.0552	0.14272569425605883	0.28765345784131324
3000	30	4	3	7	15	0.7500	-0.0648	0.7692	0.7143	0.7407	0.7506	-0.0614	0.9927872400979247	0.9724710330824983
3000	40	0	0	144000	12	0.7143	0	1.0000	0.4286	0.6000	0.7771	0	0.0	0.0
3000	40	1	5	7	18	0.7778	0.0635	0.7222	0.9286	0.8125	0.7871	0.0100	0.9846776755489853	0.9958645955374522
3000	40	2	8	144000	16	0.8148	0.1005	0.9000	0.6923	0.7826	0.8265	0.0493	0.00021996525550819565	0.35943257624474884
3000	40	3	7	777	2	0.7407	0.0265	1.0000	0.4615	0.6316	0.7927	0.0156	1.1695107486307204e-05	0.04888820443425374
3000	40	4	7	7	3	0.7037	-0.0106	1.0000	0.3846	0.5556	0.7584	-0.0187	0.00023090859396145534	4.070059260686202e-07
3000	50	0	2	7	13	0.7857	0	0.8333	0.7143	0.7692	0.7919	0	0.0	0.0
3000	50	1	7	7	13	0.7778	-0.0079	1.0000	0.5385	0.7000	0.8255	0.0335	0.9866733327691752	0.99673040408292
3000	50	2	0	777	16	0.8214	0.0357	0.8462	0.7857	0.8148	0.8253	0.0334	0.9994444596561642	0.6406167059041982
3000	50	3	7	777	6	0.8148	0.0291	0.9000	0.6923	0.7826	0.8265	0.0345	0.25526782673100873	0.0001170557935786337
3000	50	4	2	7	7	0.7857	0.0000	0.7500	0.8571	0.8000	0.7850	-0.0069	0.9909434042106442	0.8937352084351227
3500	20	0	0	7	8	0.8214	0	0.9091	0.7143	0.8000	0.8395	0	0.0	0.0
3500	20	1	2	144000	15	0.8214	0.0000	0.8462	0.7857	0.8148	0.8253	-0.0142	0.9999999999999998	1.0
3500	20	2	2	144000	19	0.8214	0.0000	1.0000	0.6429	0.7826	0.8672	0.0277	0.11095136231253006	0.013834939878484104
3500	20	3	8	777	18	0.8148	-0.0066	1.0000	0.6154	0.7619	0.8569	0.0174	0.9999617157863467	0.9998651502602266
3500	20	4	2	777	16	0.7857	-0.0357	0.7857	0.7857	0.7857	0.7857	-0.0538	0.6860433445839226	0.707712472419118
3500	30	0	0	7	11	0.7500	0	1.0000	0.5000	0.6667	0.8083	0	0.0	0.0
3500	30	1	7	7	6	0.8519	0.1019	0.8000	0.9231	0.8571	0.8412	0.0329	0.9999988473808302	0.9999999991927628
3500	30	2	2	144000	7	0.8214	0.0714	0.8000	0.8571	0.8276	0.8191	0.0108	0.9940344367136318	0.9585771011127872
3500	30	3	0	777	14	0.8214	0.0714	1.0000	0.6429	0.7826	0.8672	0.0589	0.46314630176347477	0.8503292204737706
