t_w	t_s	d_s	k	seed_j	epoch	val_acc	val_prec	val_recall	val_f1	train_loss	val_loss	val_ov
1500	20	0	0	7	0	0.5	0.5	1.0	0.6666666666666666	0.6933636665344238	0.7262258529663086	0.6333333333333333
1500	20	0	0	7	3	0.5714285714285714	1.0	0.14285714285714285	0.25	0.6882631778717041	0.6875670552253723	0.6357142857142858
1500	20	0	0	777	5	0.6071428571428571	0.5789473684210527	0.7857142857142857	0.6666666666666667	0.6849434971809387	0.691283106803894	0.6406641604010026
1500	20	0	0	777	8	0.6428571428571429	0.6	0.8571428571428571	0.7058823529411764	0.6655048727989197	0.6812800168991089	0.676890756302521
1500	20	0	1	777	4	0.6428571428571429	1.0	0.2857142857142857	0.4444444444444445	0.680253803730011	0.6889340281486511	0.7103174603174603
1500	20	0	6	777	11	0.7037037037037037	0.75	0.6428571428571429	0.6923076923076924	0.5380033254623413	0.7335071563720703	0.7124033374033375
1500	20	0	7	7	10	0.6666666666666666	1.0	0.3076923076923077	0.47058823529411764	0.5702717304229736	0.934116780757904	0.7223227752639517
1500	20	1	2	7	19	0.75	0.7333333333333333	0.7857142857142857	0.7586206896551724	0.1820555031299591	0.7314423322677612	0.7505336617405582
1500	20	1	8	144000	8	0.7777777777777778	0.7333333333333333	0.8461538461538461	0.7857142857142856	0.5977832674980164	0.96342933177948	0.7708180708180709
1500	20	3	2	7	5	0.75	0.8888888888888888	0.5714285714285714	0.6956521739130435	0.6699892282485962	0.6478031873703003	0.7728605935127674
1500	20	3	2	7	6	0.7857142857142857	0.8333333333333334	0.7142857142857143	0.7692307692307692	0.6484056711196899	0.6101884841918945	0.791941391941392
1500	20	3	2	144000	5	0.8214285714285714	0.8461538461538461	0.7857142857142857	0.8148148148148148	0.6452266573905945	0.6380149126052856	0.8253256003256003
1500	40	4	2	144000	7	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.6094496250152588	0.5482774972915649	0.8571428571428572
3000	20	3	7	7	4	0.8518518518518519	1.0	0.6923076923076923	0.8181818181818181	0.6830370426177979	0.6695659756660461	0.8872830872830872
5000	30	0	6	144000	19	0.8518518518518519	1.0	0.7142857142857143	0.8333333333333333	0.008219792507588863	0.5842697620391846	0.8947089947089948
5000	50	2	2	144000	19	0.8928571428571429	1.0	0.7857142857142857	0.88	0.08597966283559799	0.6502532362937927	0.9224285714285715
